"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","North Yorkshire","Police Force Area","4","1,671","3,162","1.27","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","North Yorkshire","Police Force Area","5","1753","3162","1.58","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","North Yorkshire","Police Force Area","8","2220","3162","2.53","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","91","13,176","12,264","7.42","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","127","14,036","12,264","10.36","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","91","11,542","12,264","7.42","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","135","11,737","12,264","11.01","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","152","12,681","12,264","12.39","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","75","8,453","12,264","6.12","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","77","9,030","12,264","6.28","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","70","8,427","12,264","5.71","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","34","4,404","12,264","2.77","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","25","1,752","12,264","2.04","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","4","1,136","12,264","0.33","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","4","1,090","12,264","0.33","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Northamptonshire","Police Force Area","9","1960","12264","0.73","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Northamptonshire","Police Force Area","19","2121","12264","1.55","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","39","33,759","10,401","3.75","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","42","28,937","10,401","4.04","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","58","32,281","10,401","5.58","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","67","39,383","10,401","6.44","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","67","43,441","10,401","6.44","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","93","40,654","10,401","8.94","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","70","31,759","10,401","6.73","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","85","37,843","10,401","8.17","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","25","17,223","10,401","2.4","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","17","7,055","10,401","1.63","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","11","3,695","10,401","1.06","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","9","2,857","10,401","0.87","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Northumbria","Police Force Area","12","2831","10401","1.15","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Northumbria","Police Force Area","20","5210","10401","1.92","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","85","8,640","17,105","4.97","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","36","5,848","17,105","2.1","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","34","4,556","17,105","1.99","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","84","5,451","17,105","4.91","1.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","41","4,528","17,105","2.4","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","26","3,320","17,105","1.52","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","17","3,384","17,105","0.99","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","28","5,166","17,105","1.64","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","22","3,762","17,105","1.29","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","18","2,417","17,105","1.05","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","19","1,573","17,105","1.11","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","15","1,449","17,105","0.88","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Nottinghamshire","Police Force Area","12","2231","17105","0.7","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Nottinghamshire","Police Force Area","33","3910","17105","1.93","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","88","18,023","11,370","7.74","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","108","18,952","11,370","9.5","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","91","18,463","11,370","8","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","65","15,846","11,370","5.72","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","70","13,847","11,370","6.16","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","69","13,948","11,370","6.07","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","50","10,083","11,370","4.4","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","28","12,879","11,370","2.46","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","21","7,782","11,370","1.85","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","30","6,058","11,370","2.64","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","14","4,851","11,370","1.23","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","24","5,868","11,370","2.11","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","South Wales","Police Force Area","46","9436","11370","4.05","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","South Wales","Police Force Area","66","11295","11370","5.8","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","62","19,042","9,136","6.79","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","83","20,530","9,136","9.08","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","101","26,816","9,136","11.06","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","143","27,555","9,136","15.65","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","109","23,106","9,136","11.93","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","80","17,674","9,136","8.76","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","76","20,487","9,136","8.32","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","81","21,218","9,136","8.87","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","30","8,175","9,136","3.28","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","12","3,521","9,136","1.31","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","8","2,025","9,136","0.88","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","7","1,529","9,136","0.77","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","South Yorkshire","Police Force Area","19","4681","9136","2.08","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","South Yorkshire","Police Force Area","29","12403","9136","3.17","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","210","19,146","8,781","23.92","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","154","17,186","8,781","17.54","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","80","10,309","8,781","9.11","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","86","7,655","8,781","9.79","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","132","11,170","8,781","15.03","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","216","18,903","8,781","24.6","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","144","18,950","8,781","16.4","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","78","14,538","8,781","8.88","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","43","6,012","8,781","4.9","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","21","3,847","8,781","2.39","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","28","3,563","8,781","3.19","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","26","2,601","8,781","2.96","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Staffordshire","Police Force Area","26","3280","8781","2.96","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Staffordshire","Police Force Area","38","5348","8781","4.33","0.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","5","4,059","3,999","1.25","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","28","5,373","3,999","7","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","5","5,978","3,999","1.25","0.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","13","4,262","3,999","3.25","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","9","3,356","3,999","2.25","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","15","3,310","3,999","3.75","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","14","3,570","3,999","3.5","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","28","5,049","3,999","7","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","7","4,628","3,999","1.75","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","7","2,530","3,999","1.75","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","6","1,894","3,999","1.5","0.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","9","1,175","3,999","2.25","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Suffolk","Police Force Area","8","1735","3999","2","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Suffolk","Police Force Area","6","2899","3999","1.5","0.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","132","13,970","20,232","6.52","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","185","18,016","20,232","9.14","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","153","17,079","20,232","7.56","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","122","13,672","20,232","6.03","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","109","13,478","20,232","5.39","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","128","15,863","20,232","6.33","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","145","18,140","20,232","7.17","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","114","14,399","20,232","5.63","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","82","10,029","20,232","4.05","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","53","5,738","20,232","2.62","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","50","3,980","20,232","2.47","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","35","4,561","20,232","1.73","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Surrey","Police Force Area","54","5221","20232","2.67","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Surrey","Police Force Area","52","5086","20232","2.57","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","180","14,988","14,908","12.07","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","285","25,703","14,908","19.12","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","253","18,311","14,908","16.97","1.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","205","18,289","14,908","13.75","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","228","20,745","14,908","15.29","1.1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","328","26,625","14,908","22","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","235","23,451","14,908","15.76","1",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","193","16,444","14,908","12.95","1.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","90","11,396","14,908","6.04","0.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","68","7,660","14,908","4.56","0.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","98","6,059","14,908","6.57","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","65","4,856","14,908","4.36","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Sussex","Police Force Area","73","5765","14908","4.9","1.3",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Sussex","Police Force Area","26","7282","14908","1.74","0.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","435","25,880","70,905","6.13","1.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","440","25,330","70,905","6.21","1.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","430","27,330","70,905","6.06","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","634","39,733","70,905","8.94","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","723","40,215","70,905","10.2","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","466","23,604","70,905","6.57","2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","370","21,472","70,905","5.22","1.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","325","20,760","70,905","4.58","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","292","16,476","70,905","4.12","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","209","10,464","70,905","2.95","2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","147","8,208","70,905","2.07","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","101","5,466","70,905","1.42","1.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Thames Valley","Police Force Area","158","6577","70905","2.23","2.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Thames Valley","Police Force Area","188","10092","70905","2.65","1.9",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","119","5,020","16,435","7.24","2.4",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","105","3,821","16,435","6.39","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","123","5,586","16,435","7.48","2.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","214","7,974","16,435","13.02","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","144","5,086","16,435","8.76","2.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","88","4,063","16,435","5.35","2.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","155","5,639","16,435","9.43","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","127","4,783","16,435","7.73","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","67","3,054","16,435","4.08","2.2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","53","3,235","16,435","3.22","1.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","39","1,908","16,435","2.37","2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","34","1,725","16,435","2.07","2",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","Indian","ONS 2001 16+1","All","Warwickshire","Police Force Area","48","1685","16435","2.92","2.8",""
"Number of stops and searches carried out (excluding vehicle only searches)","2019/20","Financial year","Indian","ONS 2011 18+1","All","Warwickshire","Police Force Area","42","1530","16435","2.56","2.7",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","62","11,652","7,952","7.8","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","50","10,428","7,952","6.29","0.5",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","68","12,043","7,952","8.55","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","76","11,775","7,952","9.56","0.6",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Indian","ONS 2001 16+1","All","West Mercia","Police Force Area","106","10,609","7,952","13.33","1",""
